Author,Known_paper,Unknown_paper,Is_same_author
robert_tibshirani,robert_tibshirani_5.txt,unknown,robert_tibshirani_7.txt,YES
lawrence_saul,lawrence_saul_5.txt,unknown,lawrence_saul_1.txt,YES
yann_lecun,yann_lecun_5.txt,unknown,yann_lecun_8.txt,YES
vapnik,vapnik_19.txt,unknown,vapnik_19.txt,YES
yoshua_bengio,yoshua_bengio_13.txt,unknown,yoshua_bengio_21.txt,YES
tom_mitchell,tom_mitchell_12.txt,unknown,tom_mitchell_3_5.txt,YES
vapnik,vapnik_15.txt,unknown,vapnik_19.txt,YES
david_blei,david_blei_2_9.txt,unknown,david_blei_20.txt,YES
yann_lecun,yann_lecun_2_8.txt,unknown,yann_lecun_8.txt,YES
robert_tibshirani,robert_tibshirani_8.txt,unknown,robert_tibshirani_7.txt,YES
bernard_scholkopf,bernard_scholkopf_8.txt,unknown,bernard_scholkopf_11.txt,YES
david_blei,david_blei_15.txt,unknown,david_blei_20.txt,YES
andrew_y_ng,andrew_y_ng_1.txt,unknown,andrew_y_ng_12.txt,YES
xiaojin_zhu,xiaojin_zhu_10.txt,unknown,xiaojin_zhu_7.txt,YES
geoffrey_hinton,geoffrey_hinton_2_9.txt,unknown,geoffrey_hinton_2_4.txt,YES
trevor_hastie,trevor_hastie_7.txt,unknown,trevor_hastie_6.txt,YES
alex_smola,alex_smola_7.txt,unknown,alex_smola_2.txt,YES
yoshua_bengio,yoshua_bengio_10.txt,unknown,yoshua_bengio_21.txt,YES
yee_whye_teh,yee_whye_teh_11.txt,unknown,yee_whye_teh_19.txt,YES
thorsten_joachims,thorsten_joachims_3_3.txt,unknown,thorsten_joachims_2_1.txt,YES
tom_mitchell,tom_mitchell_3_5.txt,unknown,tom_mitchell_3_5.txt,YES
geoffrey_hinton,geoffrey_hinton_2_6.txt,unknown,geoffrey_hinton_2_4.txt,YES
yoshua_bengio,yoshua_bengio_18.txt,unknown,yoshua_bengio_21.txt,YES
zoubin_ghahramani,zoubin_ghahramani_3_1.txt,unknown,zoubin_ghahramani_15.txt,YES
radford_neal,radford_neal_2_2.txt,unknown,radford_neal_13.txt,YES
trevor_hastie,trevor_hastie_6.txt,unknown,trevor_hastie_6.txt,YES
thomas_l_griffiths,thomas_l_griffiths_16.txt,unknown,thomas_l_griffiths_16.txt,YES
andrew_y_ng,andrew_y_ng_12.txt,unknown,andrew_y_ng_12.txt,YES
radford_neal,radford_neal_13.txt,unknown,radford_neal_13.txt,YES
radford_neal,radford_neal_3_5.txt,unknown,radford_neal_13.txt,YES
xiaojin_zhu,xiaojin_zhu_3_1.txt,unknown,xiaojin_zhu_7.txt,YES
alex_smola,alex_smola_2.txt,unknown,alex_smola_2.txt,YES
thorsten_joachims,thorsten_joachims_11.txt,unknown,thorsten_joachims_2_1.txt,YES
trevor_hastie,trevor_hastie_2_7.txt,unknown,trevor_hastie_6.txt,YES
alex_smola,alex_smola_9.txt,unknown,alex_smola_2.txt,YES
yee_whye_teh,yee_whye_teh_16.txt,unknown,yee_whye_teh_19.txt,YES
geoffrey_hinton,geoffrey_hinton_2_10.txt,unknown,geoffrey_hinton_2_4.txt,YES
vapnik,vapnik_2.txt,unknown,vapnik_19.txt,YES
bernard_scholkopf,bernard_scholkopf_20.txt,unknown,bernard_scholkopf_11.txt,YES
xiaojin_zhu,xiaojin_zhu_14.txt,unknown,xiaojin_zhu_7.txt,YES
thorsten_joachims,thorsten_joachims_2_1.txt,unknown,thorsten_joachims_2_1.txt,YES
trevor_hastie,trevor_hastie_3_7.txt,unknown,trevor_hastie_6.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_3.txt,unknown,zoubin_ghahramani_15.txt,YES
