Author,Known_paper,Unknown_paper,Is_same_author
xiaojin_zhu,xiaojin_zhu_2_4.txt,unknown,xiaojin_zhu_2_4.txt,YES
alex_smola,alex_smola_2_5.txt,unknown,alex_smola_14.txt,YES
geoffrey_hinton,geoffrey_hinton_18.txt,unknown,geoffrey_hinton_3.txt,YES
zoubin_ghahramani,zoubin_ghahramani_3_5.txt,unknown,zoubin_ghahramani_3_5.txt,YES
michael_jordan,michael_jordan_18.txt,unknown,michael_jordan_18.txt,YES
trevor_hastie,trevor_hastie_18.txt,unknown,trevor_hastie_1.txt,YES
tom_mitchell,tom_mitchell_3.txt,unknown,tom_mitchell_3.txt,YES
andrew_y_ng,andrew_y_ng_20.txt,unknown,andrew_y_ng_11.txt,YES
vapnik,vapnik_9.txt,unknown,vapnik_9.txt,YES
yee_whye_teh,yee_whye_teh_21.txt,unknown,yee_whye_teh_21.txt,YES
tom_mitchell,tom_mitchell_9.txt,unknown,tom_mitchell_3.txt,YES
lawrence_saul,lawrence_saul_2_6.txt,unknown,lawrence_saul_2_6.txt,YES
trevor_hastie,trevor_hastie_1.txt,unknown,trevor_hastie_1.txt,YES
bernard_scholkopf,bernard_scholkopf_17.txt,unknown,bernard_scholkopf_2_6.txt,YES
vapnik,vapnik_1.txt,unknown,vapnik_9.txt,YES
yann_lecun,yann_lecun_16.txt,unknown,yann_lecun_16.txt,YES
david_blei,david_blei_9.txt,unknown,david_blei_3_2.txt,YES
daphne_koller,daphne_koller_1.txt,unknown,daphne_koller_4.txt,YES
yoshua_bengio,yoshua_bengio_17.txt,unknown,yoshua_bengio_17.txt,YES
daphne_koller,daphne_koller_4.txt,unknown,daphne_koller_4.txt,YES
thomas_l_griffiths,thomas_l_griffiths_15.txt,unknown,thomas_l_griffiths_2_3.txt,YES
lawrence_saul,lawrence_saul_7.txt,unknown,lawrence_saul_2_6.txt,YES
robert_tibshirani,robert_tibshirani_3_12.txt,unknown,robert_tibshirani_3_12.txt,YES
yee_whye_teh,yee_whye_teh_6.txt,unknown,yee_whye_teh_21.txt,YES
thorsten_joachims,thorsten_joachims_4_3.txt,unknown,thorsten_joachims_4_3.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_6.txt,unknown,zoubin_ghahramani_3_5.txt,YES
andrew_y_ng,andrew_y_ng_11.txt,unknown,andrew_y_ng_11.txt,YES
radford_neal,radford_neal_2.txt,unknown,radford_neal_3.txt,YES
robert_tibshirani,robert_tibshirani_3_8.txt,unknown,robert_tibshirani_3_12.txt,YES
yoshua_bengio,yoshua_bengio_5.txt,unknown,yoshua_bengio_17.txt,YES
radford_neal,radford_neal_3.txt,unknown,radford_neal_3.txt,YES
alex_smola,alex_smola_14.txt,unknown,alex_smola_14.txt,YES
thorsten_joachims,thorsten_joachims_17.txt,unknown,thorsten_joachims_4_3.txt,YES
geoffrey_hinton,geoffrey_hinton_3.txt,unknown,geoffrey_hinton_3.txt,YES
david_blei,david_blei_3_2.txt,unknown,david_blei_3_2.txt,YES
xiaojin_zhu,xiaojin_zhu_2_5.txt,unknown,xiaojin_zhu_2_4.txt,YES
bernard_scholkopf,bernard_scholkopf_2_6.txt,unknown,bernard_scholkopf_2_6.txt,YES
yann_lecun,yann_lecun_2_2.txt,unknown,yann_lecun_16.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_3.txt,unknown,thomas_l_griffiths_2_3.txt,YES
michael_jordan,michael_jordan_7.txt,unknown,michael_jordan_18.txt,YES
lawrence_saul,lawrence_saul_17.txt,unknown,xiaojin_zhu_2_2.txt,NO
lawrence_saul,lawrence_saul_5.txt,unknown,xiaojin_zhu_2_2.txt,NO
thomas_l_griffiths,thomas_l_griffiths_4.txt,unknown,lawrence_saul_5.txt,NO
thorsten_joachims,thorsten_joachims_3_6.txt,unknown,andrew_y_ng_2_3.txt,NO
thorsten_joachims,thorsten_joachims_3.txt,unknown,andrew_y_ng_2_3.txt,NO
tom_mitchell,tom_mitchell_10.txt,unknown,thorsten_joachims_3.txt,NO
yee_whye_teh,yee_whye_teh_14.txt,unknown,michael_jordan_3_1.txt,NO
geoffrey_hinton,geoffrey_hinton_11.txt,unknown,trevor_hastie_3_2.txt,NO
vapnik,vapnik_2_6.txt,unknown,lawrence_saul_17.txt,NO
tom_mitchell,tom_mitchell_2_5.txt,unknown,thorsten_joachims_3.txt,NO
bernard_scholkopf,bernard_scholkopf_21.txt,unknown,robert_tibshirani_5_2.txt,NO
david_blei,david_blei_15.txt,unknown,daphne_koller_18.txt,NO
andrew_y_ng,andrew_y_ng_2_3.txt,unknown,bernard_scholkopf_21.txt,NO
yoshua_bengio,yoshua_bengio_2_7.txt,unknown,xiaojin_zhu_2_2.txt,NO
bernard_scholkopf,bernard_scholkopf_12.txt,unknown,robert_tibshirani_5_2.txt,NO
yann_lecun,yann_lecun_2_9.txt,unknown,yee_whye_teh_11.txt,NO
daphne_koller,daphne_koller_9.txt,unknown,vapnik_2_6.txt,NO
david_blei,david_blei_2_7.txt,unknown,daphne_koller_18.txt,NO
trevor_hastie,trevor_hastie_11.txt,unknown,andrew_y_ng_14.txt,NO
xiaojin_zhu,xiaojin_zhu_2_2.txt,unknown,bernard_scholkopf_12.txt,NO
robert_tibshirani,robert_tibshirani_3_8.txt,unknown,vapnik_2_10.txt,NO
yee_whye_teh,yee_whye_teh_11.txt,unknown,michael_jordan_3_1.txt,NO
michael_jordan,michael_jordan_2_4.txt,unknown,vapnik_2_6.txt,NO
radford_neal,radford_neal_2_2.txt,unknown,geoffrey_hinton_11.txt,NO
geoffrey_hinton,geoffrey_hinton_3.txt,unknown,trevor_hastie_3_2.txt,NO
trevor_hastie,trevor_hastie_3_2.txt,unknown,andrew_y_ng_14.txt,NO
radford_neal,radford_neal_2_3.txt,unknown,geoffrey_hinton_11.txt,NO
alex_smola,alex_smola_5.txt,unknown,yee_whye_teh_14.txt,NO
xiaojin_zhu,xiaojin_zhu_13.txt,unknown,bernard_scholkopf_12.txt,NO
yann_lecun,yann_lecun_20.txt,unknown,yee_whye_teh_11.txt,NO
zoubin_ghahramani,zoubin_ghahramani_2_3.txt,unknown,daphne_koller_18.txt,NO
daphne_koller,daphne_koller_18.txt,unknown,vapnik_2_6.txt,NO
vapnik,vapnik_2_10.txt,unknown,lawrence_saul_17.txt,NO
andrew_y_ng,andrew_y_ng_14.txt,unknown,bernard_scholkopf_21.txt,NO
michael_jordan,michael_jordan_3_1.txt,unknown,vapnik_2_6.txt,NO
robert_tibshirani,robert_tibshirani_5_2.txt,unknown,vapnik_2_10.txt,NO
zoubin_ghahramani,zoubin_ghahramani_3_5.txt,unknown,daphne_koller_18.txt,NO
yoshua_bengio,yoshua_bengio_12.txt,unknown,xiaojin_zhu_2_2.txt,NO
thomas_l_griffiths,thomas_l_griffiths_1.txt,unknown,lawrence_saul_5.txt,NO
alex_smola,alex_smola_1.txt,unknown,yee_whye_teh_14.txt,NO
