Author,Known_paper,Unknown_paper,Is_same_author
alex_smola,alex_smola_13.txt,unknown,alex_smola_12.txt,YES
andrew_y_ng,andrew_y_ng_17.txt,unknown,andrew_y_ng_6.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_6.txt,unknown,zoubin_ghahramani_3_9.txt,YES
xiaojin_zhu,xiaojin_zhu_2_9.txt,unknown,xiaojin_zhu_15.txt,YES
bernard_scholkopf,bernard_scholkopf_19.txt,unknown,bernard_scholkopf_1.txt,YES
yann_lecun,yann_lecun_17.txt,unknown,yann_lecun_2_6.txt,YES
michael_jordan,michael_jordan_14.txt,unknown,michael_jordan_9.txt,YES
xiaojin_zhu,xiaojin_zhu_10.txt,unknown,xiaojin_zhu_15.txt,YES
daphne_koller,daphne_koller_18.txt,unknown,daphne_koller_3_4.txt,YES
david_blei,david_blei_21.txt,unknown,david_blei_16.txt,YES
thorsten_joachims,thorsten_joachims_10.txt,unknown,thorsten_joachims_2_1.txt,YES
tom_mitchell,tom_mitchell_2_8.txt,unknown,tom_mitchell_2_6.txt,YES
zoubin_ghahramani,zoubin_ghahramani_14.txt,unknown,zoubin_ghahramani_3_9.txt,YES
thorsten_joachims,thorsten_joachims_2_4.txt,unknown,thorsten_joachims_2_1.txt,YES
robert_tibshirani,robert_tibshirani_20.txt,unknown,robert_tibshirani_3_12.txt,YES
trevor_hastie,trevor_hastie_18.txt,unknown,trevor_hastie_2_3.txt,YES
daphne_koller,daphne_koller_4.txt,unknown,daphne_koller_3_4.txt,YES
alex_smola,alex_smola_18.txt,unknown,alex_smola_12.txt,YES
vapnik,vapnik_2_1.txt,unknown,vapnik_2.txt,YES
thorsten_joachims,thorsten_joachims_3_8.txt,unknown,thorsten_joachims_2_1.txt,YES
bernard_scholkopf,bernard_scholkopf_11.txt,unknown,bernard_scholkopf_1.txt,YES
thomas_l_griffiths,thomas_l_griffiths_3.txt,unknown,thomas_l_griffiths_14.txt,YES
radford_neal,radford_neal_19.txt,unknown,radford_neal_3_9.txt,YES
trevor_hastie,trevor_hastie_3_3.txt,unknown,trevor_hastie_2_3.txt,YES
tom_mitchell,tom_mitchell_5.txt,unknown,tom_mitchell_2_6.txt,YES
zoubin_ghahramani,zoubin_ghahramani_3_5.txt,unknown,zoubin_ghahramani_3_9.txt,YES
yee_whye_teh,yee_whye_teh_4.txt,unknown,yee_whye_teh_14.txt,YES
vapnik,vapnik_2_7.txt,unknown,vapnik_2.txt,YES
trevor_hastie,trevor_hastie_21.txt,unknown,trevor_hastie_2_3.txt,YES
lawrence_saul,lawrence_saul_2_8.txt,unknown,lawrence_saul_1.txt,YES
david_blei,david_blei_5.txt,unknown,david_blei_16.txt,YES
yee_whye_teh,yee_whye_teh_2_6.txt,unknown,yee_whye_teh_14.txt,YES
yoshua_bengio,yoshua_bengio_8.txt,unknown,yoshua_bengio_2_6.txt,YES
geoffrey_hinton,geoffrey_hinton_10.txt,unknown,geoffrey_hinton_3_2.txt,YES
geoffrey_hinton,geoffrey_hinton_20.txt,unknown,geoffrey_hinton_3_2.txt,YES
geoffrey_hinton,geoffrey_hinton_6.txt,unknown,geoffrey_hinton_3_2.txt,YES
tom_mitchell,tom_mitchell_3_4.txt,unknown,tom_mitchell_2_6.txt,YES
radford_neal,radford_neal_2_4.txt,unknown,radford_neal_3_9.txt,YES
andrew_y_ng,andrew_y_ng_13.txt,unknown,andrew_y_ng_6.txt,YES
thomas_l_griffiths,thomas_l_griffiths_21.txt,unknown,thomas_l_griffiths_14.txt,YES
michael_jordan,michael_jordan_13.txt,unknown,michael_jordan_9.txt,YES
vapnik,vapnik_16.txt,unknown,vapnik_2.txt,YES
robert_tibshirani,robert_tibshirani_17.txt,unknown,robert_tibshirani_3_12.txt,YES
alex_smola,alex_smola_10.txt,unknown,alex_smola_12.txt,YES
xiaojin_zhu,xiaojin_zhu_12.txt,unknown,xiaojin_zhu_15.txt,YES
yann_lecun,yann_lecun_2_9.txt,unknown,yann_lecun_2_6.txt,YES
daphne_koller,daphne_koller_7.txt,unknown,daphne_koller_3_4.txt,YES
yann_lecun,yann_lecun_3_3.txt,unknown,yann_lecun_2_6.txt,YES
michael_jordan,michael_jordan_2.txt,unknown,michael_jordan_9.txt,YES
robert_tibshirani,robert_tibshirani_6.txt,unknown,robert_tibshirani_3_12.txt,YES
lawrence_saul,lawrence_saul_3.txt,unknown,lawrence_saul_1.txt,YES
thomas_l_griffiths,thomas_l_griffiths_11.txt,unknown,thomas_l_griffiths_14.txt,YES
