Author,Known_paper,Unknown_paper,Is_same_author
michael_jordan,michael_jordan_2_4.txt,unknown,michael_jordan_20.txt,YES
lawrence_saul,lawrence_saul_15.txt,unknown,lawrence_saul_5.txt,YES
daphne_koller,daphne_koller_2_10.txt,unknown,daphne_koller_10.txt,YES
andrew_y_ng,andrew_y_ng_2_6.txt,unknown,andrew_y_ng_14.txt,YES
zoubin_ghahramani,zoubin_ghahramani_3_10.txt,unknown,zoubin_ghahramani_17.txt,YES
robert_tibshirani,robert_tibshirani_11.txt,unknown,robert_tibshirani_3_9.txt,YES
david_blei,david_blei_22.txt,unknown,david_blei_3_2.txt,YES
xiaojin_zhu,xiaojin_zhu_2_4.txt,unknown,xiaojin_zhu_3_1.txt,YES
alex_smola,alex_smola_2_5.txt,unknown,alex_smola_3_2.txt,YES
vapnik,vapnik_3_6.txt,unknown,vapnik_4.txt,YES
yee_whye_teh,yee_whye_teh_1.txt,unknown,yee_whye_teh_17.txt,YES
radford_neal,radford_neal_3_7.txt,unknown,radford_neal_13.txt,YES
tom_mitchell,tom_mitchell_10.txt,unknown,tom_mitchell_2_7.txt,YES
geoffrey_hinton,geoffrey_hinton_2_10.txt,unknown,geoffrey_hinton_2_3.txt,YES
yann_lecun,yann_lecun_6.txt,unknown,yann_lecun_1.txt,YES
trevor_hastie,trevor_hastie_2_9.txt,unknown,trevor_hastie_2_7.txt,YES
yoshua_bengio,yoshua_bengio_17.txt,unknown,yoshua_bengio_21.txt,YES
bernard_scholkopf,bernard_scholkopf_17.txt,unknown,bernard_scholkopf_2_4.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_4.txt,unknown,thomas_l_griffiths_6.txt,YES
thorsten_joachims,thorsten_joachims_3_10.txt,unknown,thorsten_joachims_3_5.txt,YES
david_blei,david_blei_2_10.txt,unknown,daphne_koller_2.txt,NO
bernard_scholkopf,bernard_scholkopf_5.txt,unknown,thomas_l_griffiths_1.txt,NO
yoshua_bengio,yoshua_bengio_8.txt,unknown,yann_lecun_9.txt,NO
michael_jordan,michael_jordan_20.txt,unknown,david_blei_22.txt,NO
alex_smola,alex_smola_20.txt,unknown,michael_jordan_13.txt,NO
andrew_y_ng,andrew_y_ng_2_10.txt,unknown,lawrence_saul_14.txt,NO
radford_neal,radford_neal_3.txt,unknown,alex_smola_2.txt,NO
tom_mitchell,tom_mitchell_9.txt,unknown,xiaojin_zhu_11.txt,NO
robert_tibshirani,robert_tibshirani_7.txt,unknown,geoffrey_hinton_3_2.txt,NO
daphne_koller,daphne_koller_2_10.txt,unknown,andrew_y_ng_12.txt,NO
geoffrey_hinton,geoffrey_hinton_3.txt,unknown,robert_tibshirani_3_8.txt,NO
trevor_hastie,trevor_hastie_3_11.txt,unknown,thorsten_joachims_3_3.txt,NO
lawrence_saul,lawrence_saul_6.txt,unknown,yee_whye_teh_2_1.txt,NO
yann_lecun,yann_lecun_6.txt,unknown,yoshua_bengio_4.txt,NO
yee_whye_teh,yee_whye_teh_21.txt,unknown,bernard_scholkopf_17.txt,NO
zoubin_ghahramani,zoubin_ghahramani_3_4.txt,unknown,trevor_hastie_2_7.txt,NO
xiaojin_zhu,xiaojin_zhu_9.txt,unknown,zoubin_ghahramani_2_8.txt,NO
thomas_l_griffiths,thomas_l_griffiths_10.txt,unknown,radford_neal_2_2.txt,NO
vapnik,vapnik_2_1.txt,unknown,tom_mitchell_14.txt,NO
thorsten_joachims,thorsten_joachims_4.txt,unknown,vapnik_22.txt,NO
