Author,Known_paper,Unknown_paper,Is_same_author
yoshua_bengio,yoshua_bengio_10.txt,unknown,thomas_l_griffiths_6.txt,NO
yoshua_bengio,yoshua_bengio_21.txt,unknown,thomas_l_griffiths_6.txt,NO
michael_jordan,michael_jordan_3_2.txt,unknown,robert_tibshirani_3_9.txt,NO
yann_lecun,yann_lecun_18.txt,unknown,yann_lecun_1.txt,YES
vapnik,vapnik_2_5.txt,unknown,vapnik_2.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_3.txt,unknown,zoubin_ghahramani_3_1.txt,YES
zoubin_ghahramani,zoubin_ghahramani_3_10.txt,unknown,zoubin_ghahramani_3_1.txt,YES
thomas_l_griffiths,thomas_l_griffiths_15.txt,unknown,david_blei_16.txt,NO
geoffrey_hinton,geoffrey_hinton_20.txt,unknown,geoffrey_hinton_11.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2.txt,unknown,david_blei_16.txt,NO
david_blei,david_blei_14.txt,unknown,yann_lecun_17.txt,NO
thorsten_joachims,thorsten_joachims_3_5.txt,unknown,thorsten_joachims_17.txt,YES
yoshua_bengio,yoshua_bengio_20.txt,unknown,thomas_l_griffiths_6.txt,NO
lawrence_saul,lawrence_saul_7.txt,unknown,lawrence_saul_8.txt,YES
yann_lecun,yann_lecun_19.txt,unknown,yann_lecun_1.txt,YES
thorsten_joachims,thorsten_joachims_4_3.txt,unknown,thorsten_joachims_17.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_7.txt,unknown,david_blei_16.txt,NO
lawrence_saul,lawrence_saul_2_4.txt,unknown,thorsten_joachims_5.txt,NO
yann_lecun,yann_lecun_2_2.txt,unknown,radford_neal_2_4.txt,NO
thorsten_joachims,thorsten_joachims_10.txt,unknown,thorsten_joachims_17.txt,YES
thorsten_joachims,thorsten_joachims_17.txt,unknown,lawrence_saul_15.txt,NO
andrew_y_ng,andrew_y_ng_2_7.txt,unknown,michael_jordan_18.txt,NO
lawrence_saul,lawrence_saul_7.txt,unknown,thorsten_joachims_5.txt,NO
bernard_scholkopf,bernard_scholkopf_2_4.txt,unknown,tom_mitchell_2_3.txt,NO
geoffrey_hinton,geoffrey_hinton_2_6.txt,unknown,geoffrey_hinton_11.txt,YES
daphne_koller,daphne_koller_3_6.txt,unknown,daphne_koller_11.txt,YES
thorsten_joachims,thorsten_joachims_3_3.txt,unknown,thorsten_joachims_17.txt,YES
thorsten_joachims,thorsten_joachims_2_4.txt,unknown,lawrence_saul_15.txt,NO
radford_neal,radford_neal_3_8.txt,unknown,radford_neal_2_3.txt,YES
trevor_hastie,trevor_hastie_3_3.txt,unknown,alex_smola_3.txt,NO
robert_tibshirani,robert_tibshirani_3_17.txt,unknown,vapnik_14.txt,NO
thorsten_joachims,thorsten_joachims_2_1.txt,unknown,lawrence_saul_15.txt,NO
vapnik,vapnik_2_5.txt,unknown,zoubin_ghahramani_15.txt,NO
tom_mitchell,tom_mitchell_9.txt,unknown,geoffrey_hinton_6.txt,NO
geoffrey_hinton,geoffrey_hinton_12.txt,unknown,geoffrey_hinton_11.txt,YES
tom_mitchell,tom_mitchell_2_9.txt,unknown,geoffrey_hinton_6.txt,NO
david_blei,david_blei_2_7.txt,unknown,david_blei_5.txt,YES
david_blei,david_blei_2_2.txt,unknown,yann_lecun_17.txt,NO
geoffrey_hinton,geoffrey_hinton_2_10.txt,unknown,daphne_koller_19.txt,NO
david_blei,david_blei_16.txt,unknown,david_blei_5.txt,YES
michael_jordan,michael_jordan_9.txt,unknown,robert_tibshirani_3_9.txt,NO
alex_smola,alex_smola_2.txt,unknown,alex_smola_3.txt,YES
david_blei,david_blei_15.txt,unknown,yann_lecun_17.txt,NO
geoffrey_hinton,geoffrey_hinton_3.txt,unknown,geoffrey_hinton_11.txt,YES
robert_tibshirani,robert_tibshirani_5_2.txt,unknown,robert_tibshirani_8.txt,YES
michael_jordan,michael_jordan_13.txt,unknown,michael_jordan_18.txt,YES
zoubin_ghahramani,zoubin_ghahramani_3_9.txt,unknown,zoubin_ghahramani_3_1.txt,YES
xiaojin_zhu,xiaojin_zhu_10.txt,unknown,yee_whye_teh_1.txt,NO
robert_tibshirani,robert_tibshirani_3_8.txt,unknown,robert_tibshirani_8.txt,YES
trevor_hastie,trevor_hastie_7.txt,unknown,trevor_hastie_2_9.txt,YES
yee_whye_teh,yee_whye_teh_15.txt,unknown,bernard_scholkopf_14.txt,NO
lawrence_saul,lawrence_saul_18.txt,unknown,thorsten_joachims_5.txt,NO
bernard_scholkopf,bernard_scholkopf_16.txt,unknown,bernard_scholkopf_21.txt,YES
andrew_y_ng,andrew_y_ng_3.txt,unknown,michael_jordan_18.txt,NO
vapnik,vapnik_7.txt,unknown,zoubin_ghahramani_15.txt,NO
alex_smola,alex_smola_2_2.txt,unknown,alex_smola_3.txt,YES
alex_smola,alex_smola_12.txt,unknown,trevor_hastie_3_2.txt,NO
alex_smola,alex_smola_2.txt,unknown,trevor_hastie_3_2.txt,NO
michael_jordan,michael_jordan_20.txt,unknown,robert_tibshirani_3_9.txt,NO
yann_lecun,yann_lecun_3_3.txt,unknown,yann_lecun_1.txt,YES
thorsten_joachims,thorsten_joachims_10.txt,unknown,lawrence_saul_15.txt,NO
zoubin_ghahramani,zoubin_ghahramani_13.txt,unknown,xiaojin_zhu_2_5.txt,NO
bernard_scholkopf,bernard_scholkopf_16.txt,unknown,tom_mitchell_2_3.txt,NO
tom_mitchell,tom_mitchell_2_6.txt,unknown,tom_mitchell_11.txt,YES
geoffrey_hinton,geoffrey_hinton_8.txt,unknown,geoffrey_hinton_11.txt,YES
tom_mitchell,tom_mitchell_3.txt,unknown,geoffrey_hinton_6.txt,NO
yee_whye_teh,yee_whye_teh_11.txt,unknown,yee_whye_teh_21.txt,YES
michael_jordan,michael_jordan_2.txt,unknown,robert_tibshirani_3_9.txt,NO
robert_tibshirani,robert_tibshirani_16.txt,unknown,robert_tibshirani_8.txt,YES
geoffrey_hinton,geoffrey_hinton_18.txt,unknown,geoffrey_hinton_11.txt,YES
radford_neal,radford_neal_2_2.txt,unknown,radford_neal_2_3.txt,YES
lawrence_saul,lawrence_saul_17.txt,unknown,lawrence_saul_8.txt,YES
lawrence_saul,lawrence_saul_2_4.txt,unknown,lawrence_saul_8.txt,YES
zoubin_ghahramani,zoubin_ghahramani_1.txt,unknown,xiaojin_zhu_2_5.txt,NO
alex_smola,alex_smola_20.txt,unknown,alex_smola_3.txt,YES
radford_neal,radford_neal_2_1.txt,unknown,radford_neal_2_3.txt,YES
