Author,Known_paper,Unknown_paper,Is_same_author
yee_whye_teh,yee_whye_teh_15.txt,unknown,yee_whye_teh_5.txt,YES
andrew_y_ng,andrew_y_ng_6.txt,unknown,andrew_y_ng_2_2.txt,YES
trevor_hastie,trevor_hastie_2_8.txt,unknown,trevor_hastie_2_8.txt,YES
andrew_y_ng,andrew_y_ng_2_3.txt,unknown,andrew_y_ng_2_2.txt,YES
trevor_hastie,trevor_hastie_2_10.txt,unknown,trevor_hastie_2_8.txt,YES
bernard_scholkopf,bernard_scholkopf_1.txt,unknown,bernard_scholkopf_12.txt,YES
yee_whye_teh,yee_whye_teh_17.txt,unknown,yee_whye_teh_5.txt,YES
zoubin_ghahramani,zoubin_ghahramani_9.txt,unknown,zoubin_ghahramani_5.txt,YES
andrew_y_ng,andrew_y_ng_2_10.txt,unknown,andrew_y_ng_2_2.txt,YES
tom_mitchell,tom_mitchell_11.txt,unknown,tom_mitchell_14.txt,YES
yann_lecun,yann_lecun_3.txt,unknown,yann_lecun_7.txt,YES
geoffrey_hinton,geoffrey_hinton_11.txt,unknown,geoffrey_hinton_21.txt,YES
daphne_koller,daphne_koller_3_6.txt,unknown,daphne_koller_16.txt,YES
trevor_hastie,trevor_hastie_16.txt,unknown,trevor_hastie_2_8.txt,YES
zoubin_ghahramani,zoubin_ghahramani_13.txt,unknown,zoubin_ghahramani_5.txt,YES
daphne_koller,daphne_koller_6.txt,unknown,daphne_koller_16.txt,YES
bernard_scholkopf,bernard_scholkopf_2.txt,unknown,bernard_scholkopf_12.txt,YES
yoshua_bengio,yoshua_bengio_20.txt,unknown,yoshua_bengio_15.txt,YES
geoffrey_hinton,geoffrey_hinton_10.txt,unknown,geoffrey_hinton_21.txt,YES
vapnik,vapnik_2_6.txt,unknown,vapnik_2_2.txt,YES
xiaojin_zhu,xiaojin_zhu_4.txt,unknown,xiaojin_zhu_16.txt,YES
xiaojin_zhu,xiaojin_zhu_13.txt,unknown,xiaojin_zhu_16.txt,YES
yoshua_bengio,yoshua_bengio_8.txt,unknown,yoshua_bengio_15.txt,YES
tom_mitchell,tom_mitchell_3_4.txt,unknown,tom_mitchell_14.txt,YES
alex_smola,alex_smola_2_3.txt,unknown,alex_smola_10.txt,YES
radford_neal,radford_neal_19.txt,unknown,radford_neal_2_3.txt,YES
xiaojin_zhu,xiaojin_zhu_15.txt,unknown,xiaojin_zhu_16.txt,YES
yoshua_bengio,yoshua_bengio_22.txt,unknown,yoshua_bengio_15.txt,YES
michael_jordan,michael_jordan_19.txt,unknown,michael_jordan_13.txt,YES
robert_tibshirani,robert_tibshirani_3_9.txt,unknown,robert_tibshirani_3_1.txt,YES
lawrence_saul,lawrence_saul_17.txt,unknown,lawrence_saul_17.txt,YES
yee_whye_teh,yee_whye_teh_1.txt,unknown,yee_whye_teh_5.txt,YES
andrew_y_ng,andrew_y_ng_2_5.txt,unknown,andrew_y_ng_2_2.txt,YES
david_blei,david_blei_2_10.txt,unknown,david_blei_2.txt,YES
bernard_scholkopf,bernard_scholkopf_12.txt,unknown,bernard_scholkopf_12.txt,YES
tom_mitchell,tom_mitchell_2_10.txt,unknown,tom_mitchell_14.txt,YES
tom_mitchell,tom_mitchell_2_7.txt,unknown,tom_mitchell_14.txt,YES
yoshua_bengio,yoshua_bengio_16.txt,unknown,yoshua_bengio_15.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2.txt,unknown,thomas_l_griffiths_17.txt,YES
trevor_hastie,trevor_hastie_3_11.txt,unknown,trevor_hastie_2_8.txt,YES
bernard_scholkopf,bernard_scholkopf_2_4.txt,unknown,bernard_scholkopf_12.txt,YES
geoffrey_hinton,geoffrey_hinton_13.txt,unknown,geoffrey_hinton_21.txt,YES
robert_tibshirani,robert_tibshirani_3_17.txt,unknown,robert_tibshirani_3_1.txt,YES
robert_tibshirani,robert_tibshirani_6.txt,unknown,robert_tibshirani_3_1.txt,YES
radford_neal,radford_neal_2_5.txt,unknown,radford_neal_2_3.txt,YES
andrew_y_ng,andrew_y_ng_13.txt,unknown,andrew_y_ng_2_2.txt,YES
thorsten_joachims,thorsten_joachims_4.txt,unknown,thorsten_joachims_4.txt,YES
xiaojin_zhu,xiaojin_zhu_2_9.txt,unknown,xiaojin_zhu_16.txt,YES
thorsten_joachims,thorsten_joachims_3_5.txt,unknown,thorsten_joachims_4.txt,YES
vapnik,vapnik_2_5.txt,unknown,vapnik_2_2.txt,YES
xiaojin_zhu,xiaojin_zhu_9.txt,unknown,xiaojin_zhu_16.txt,YES
lawrence_saul,lawrence_saul_19.txt,unknown,lawrence_saul_17.txt,YES
zoubin_ghahramani,zoubin_ghahramani_18.txt,unknown,zoubin_ghahramani_5.txt,YES
david_blei,david_blei_16.txt,unknown,david_blei_2.txt,YES
michael_jordan,michael_jordan_2.txt,unknown,michael_jordan_13.txt,YES
vapnik,vapnik_4.txt,unknown,vapnik_2_2.txt,YES
vapnik,vapnik_13.txt,unknown,vapnik_2_2.txt,YES
tom_mitchell,tom_mitchell_2_9.txt,unknown,tom_mitchell_14.txt,YES
thorsten_joachims,thorsten_joachims_3.txt,unknown,thorsten_joachims_4.txt,YES
yann_lecun,yann_lecun_3_3.txt,unknown,yann_lecun_7.txt,YES
yann_lecun,yann_lecun_9.txt,unknown,yann_lecun_7.txt,YES
bernard_scholkopf,bernard_scholkopf_3_1.txt,unknown,bernard_scholkopf_12.txt,YES
michael_jordan,michael_jordan_2_2.txt,unknown,michael_jordan_13.txt,YES
yann_lecun,yann_lecun_2_9.txt,unknown,yann_lecun_7.txt,YES
geoffrey_hinton,geoffrey_hinton_12.txt,unknown,geoffrey_hinton_21.txt,YES
radford_neal,radford_neal_2_4.txt,unknown,radford_neal_2_3.txt,YES
alex_smola,alex_smola_10.txt,unknown,alex_smola_10.txt,YES
yee_whye_teh,yee_whye_teh_12.txt,unknown,yee_whye_teh_5.txt,YES
robert_tibshirani,robert_tibshirani_4.txt,unknown,robert_tibshirani_3_1.txt,YES
tom_mitchell,tom_mitchell_14.txt,unknown,tom_mitchell_14.txt,YES
trevor_hastie,trevor_hastie_3_2.txt,unknown,trevor_hastie_2_8.txt,YES
yee_whye_teh,yee_whye_teh_3.txt,unknown,yee_whye_teh_5.txt,YES
david_blei,david_blei_2_2.txt,unknown,david_blei_2.txt,YES
alex_smola,alex_smola_1.txt,unknown,alex_smola_10.txt,YES
thomas_l_griffiths,thomas_l_griffiths_19.txt,unknown,thomas_l_griffiths_17.txt,YES
yoshua_bengio,yoshua_bengio_2.txt,unknown,yoshua_bengio_15.txt,YES
thomas_l_griffiths,thomas_l_griffiths_13.txt,unknown,thomas_l_griffiths_17.txt,YES
zoubin_ghahramani,zoubin_ghahramani_11.txt,unknown,zoubin_ghahramani_5.txt,YES
thorsten_joachims,thorsten_joachims_5.txt,unknown,thorsten_joachims_4.txt,YES
yann_lecun,yann_lecun_2_6.txt,unknown,yann_lecun_7.txt,YES
yee_whye_teh,yee_whye_teh_14.txt,unknown,yee_whye_teh_5.txt,YES
bernard_scholkopf,bernard_scholkopf_14.txt,unknown,bernard_scholkopf_12.txt,YES
alex_smola,alex_smola_17.txt,unknown,alex_smola_10.txt,YES
xiaojin_zhu,xiaojin_zhu_8.txt,unknown,xiaojin_zhu_16.txt,YES
radford_neal,radford_neal_12.txt,unknown,radford_neal_2_3.txt,YES
yann_lecun,yann_lecun_7.txt,unknown,yann_lecun_7.txt,YES
vapnik,vapnik_3_2.txt,unknown,vapnik_2_2.txt,YES
alex_smola,alex_smola_18.txt,unknown,alex_smola_10.txt,YES
robert_tibshirani,robert_tibshirani_5_2.txt,unknown,robert_tibshirani_3_1.txt,YES
lawrence_saul,lawrence_saul_3.txt,unknown,lawrence_saul_17.txt,YES
zoubin_ghahramani,zoubin_ghahramani_17.txt,unknown,zoubin_ghahramani_5.txt,YES
yann_lecun,yann_lecun_6.txt,unknown,yann_lecun_7.txt,YES
geoffrey_hinton,geoffrey_hinton_3_2.txt,unknown,geoffrey_hinton_21.txt,YES
vapnik,vapnik_7.txt,unknown,vapnik_2_2.txt,YES
robert_tibshirani,robert_tibshirani_17.txt,unknown,robert_tibshirani_3_1.txt,YES
thorsten_joachims,thorsten_joachims_10.txt,unknown,thorsten_joachims_4.txt,YES
michael_jordan,michael_jordan_2_8.txt,unknown,michael_jordan_13.txt,YES
thorsten_joachims,thorsten_joachims_4_4.txt,unknown,thorsten_joachims_4.txt,YES
yann_lecun,yann_lecun_17.txt,unknown,yann_lecun_7.txt,YES
trevor_hastie,trevor_hastie_5.txt,unknown,trevor_hastie_2_8.txt,YES
yee_whye_teh,yee_whye_teh_2_6.txt,unknown,yee_whye_teh_5.txt,YES
yann_lecun,yann_lecun_20.txt,unknown,yann_lecun_7.txt,YES
david_blei,david_blei_18.txt,unknown,david_blei_2.txt,YES
daphne_koller,daphne_koller_3_5.txt,unknown,daphne_koller_16.txt,YES
michael_jordan,michael_jordan_8.txt,unknown,michael_jordan_13.txt,YES
daphne_koller,daphne_koller_2.txt,unknown,daphne_koller_16.txt,YES
lawrence_saul,lawrence_saul_15.txt,unknown,lawrence_saul_17.txt,YES
lawrence_saul,lawrence_saul_10.txt,unknown,lawrence_saul_17.txt,YES
thorsten_joachims,thorsten_joachims_3_8.txt,unknown,thorsten_joachims_4.txt,YES
daphne_koller,daphne_koller_2_7.txt,unknown,daphne_koller_16.txt,YES
vapnik,vapnik_22.txt,unknown,vapnik_2_2.txt,YES
andrew_y_ng,andrew_y_ng_18.txt,unknown,andrew_y_ng_2_2.txt,YES
thorsten_joachims,thorsten_joachims_6.txt,unknown,thorsten_joachims_4.txt,YES
robert_tibshirani,robert_tibshirani_1.txt,unknown,robert_tibshirani_3_1.txt,YES
tom_mitchell,tom_mitchell_3_3.txt,unknown,tom_mitchell_14.txt,YES
geoffrey_hinton,geoffrey_hinton_21.txt,unknown,geoffrey_hinton_21.txt,YES
trevor_hastie,trevor_hastie_2_3.txt,unknown,trevor_hastie_2_8.txt,YES
lawrence_saul,lawrence_saul_2.txt,unknown,lawrence_saul_17.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_8.txt,unknown,thomas_l_griffiths_17.txt,YES
trevor_hastie,trevor_hastie_3_3.txt,unknown,trevor_hastie_2_8.txt,YES
geoffrey_hinton,geoffrey_hinton_3_1.txt,unknown,geoffrey_hinton_21.txt,YES
alex_smola,alex_smola_12.txt,unknown,alex_smola_10.txt,YES
andrew_y_ng,andrew_y_ng_3.txt,unknown,andrew_y_ng_2_2.txt,YES
xiaojin_zhu,xiaojin_zhu_18.txt,unknown,xiaojin_zhu_16.txt,YES
radford_neal,radford_neal_3_7.txt,unknown,radford_neal_2_3.txt,YES
thomas_l_griffiths,thomas_l_griffiths_14.txt,unknown,thomas_l_griffiths_17.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_8.txt,unknown,zoubin_ghahramani_5.txt,YES
david_blei,david_blei_19.txt,unknown,david_blei_2.txt,YES
radford_neal,radford_neal_3_9.txt,unknown,radford_neal_2_3.txt,YES
alex_smola,alex_smola_20.txt,unknown,alex_smola_10.txt,YES
daphne_koller,daphne_koller_2_8.txt,unknown,daphne_koller_16.txt,YES
david_blei,david_blei_2.txt,unknown,david_blei_2.txt,YES
thomas_l_griffiths,thomas_l_griffiths_21.txt,unknown,thomas_l_griffiths_17.txt,YES
