Author,Known_paper,Unknown_paper,Is_same_author
michael_jordan,michael_jordan_8.txt,unknown,michael_jordan_19.txt,YES
andrew_y_ng,andrew_y_ng_20.txt,unknown,andrew_y_ng_2_5.txt,YES
tom_mitchell,tom_mitchell_12.txt,unknown,tom_mitchell_2_9.txt,YES
vapnik,vapnik_19.txt,unknown,vapnik_2_2.txt,YES
david_blei,david_blei_4.txt,unknown,david_blei_20.txt,YES
lawrence_saul,lawrence_saul_4.txt,unknown,lawrence_saul_19.txt,YES
lawrence_saul,lawrence_saul_7.txt,unknown,lawrence_saul_19.txt,YES
thorsten_joachims,thorsten_joachims_4_3.txt,unknown,thorsten_joachims_5.txt,YES
thorsten_joachims,thorsten_joachims_1.txt,unknown,thorsten_joachims_5.txt,YES
yee_whye_teh,yee_whye_teh_2_1.txt,unknown,yee_whye_teh_16.txt,YES
alex_smola,alex_smola_9.txt,unknown,alex_smola_2_9.txt,YES
andrew_y_ng,andrew_y_ng_2_3.txt,unknown,andrew_y_ng_2_5.txt,YES
lawrence_saul,lawrence_saul_17.txt,unknown,lawrence_saul_19.txt,YES
tom_mitchell,tom_mitchell_3_5.txt,unknown,tom_mitchell_2_9.txt,YES
vapnik,vapnik_15.txt,unknown,vapnik_2_2.txt,YES
yoshua_bengio,yoshua_bengio_16.txt,unknown,yoshua_bengio_5.txt,YES
tom_mitchell,tom_mitchell_6.txt,unknown,tom_mitchell_2_9.txt,YES
thorsten_joachims,thorsten_joachims_16.txt,unknown,thorsten_joachims_5.txt,YES
yee_whye_teh,yee_whye_teh_2.txt,unknown,yee_whye_teh_16.txt,YES
daphne_koller,daphne_koller_2_6.txt,unknown,daphne_koller_3_6.txt,YES
geoffrey_hinton,geoffrey_hinton_2_6.txt,unknown,geoffrey_hinton_4.txt,YES
daphne_koller,daphne_koller_3_5.txt,unknown,daphne_koller_3_6.txt,YES
andrew_y_ng,andrew_y_ng_2_7.txt,unknown,andrew_y_ng_2_5.txt,YES
yann_lecun,yann_lecun_18.txt,unknown,yann_lecun_22.txt,YES
alex_smola,alex_smola_20.txt,unknown,alex_smola_2_9.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_2.txt,unknown,thomas_l_griffiths_10.txt,YES
andrew_y_ng,andrew_y_ng_19.txt,unknown,andrew_y_ng_2_5.txt,YES
lawrence_saul,lawrence_saul_9.txt,unknown,lawrence_saul_19.txt,YES
trevor_hastie,trevor_hastie_19.txt,unknown,trevor_hastie_16.txt,YES
andrew_y_ng,andrew_y_ng_8.txt,unknown,andrew_y_ng_2_5.txt,YES
thorsten_joachims,thorsten_joachims_3_6.txt,unknown,thorsten_joachims_5.txt,YES
vapnik,vapnik_1.txt,unknown,vapnik_2_2.txt,YES
michael_jordan,michael_jordan_18.txt,unknown,michael_jordan_19.txt,YES
yee_whye_teh,yee_whye_teh_6.txt,unknown,yee_whye_teh_16.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_7.txt,unknown,zoubin_ghahramani_11.txt,YES
zoubin_ghahramani,zoubin_ghahramani_7.txt,unknown,zoubin_ghahramani_11.txt,YES
thomas_l_griffiths,thomas_l_griffiths_4.txt,unknown,thomas_l_griffiths_10.txt,YES
robert_tibshirani,robert_tibshirani_5.txt,unknown,robert_tibshirani_2_9.txt,YES
yee_whye_teh,yee_whye_teh_10.txt,unknown,yee_whye_teh_16.txt,YES
daphne_koller,daphne_koller_2_8.txt,unknown,daphne_koller_3_6.txt,YES
yoshua_bengio,yoshua_bengio_13.txt,unknown,yoshua_bengio_5.txt,YES
radford_neal,radford_neal_2_6.txt,unknown,radford_neal_2_5.txt,YES
thomas_l_griffiths,thomas_l_griffiths_16.txt,unknown,thomas_l_griffiths_10.txt,YES
michael_jordan,michael_jordan_7.txt,unknown,michael_jordan_19.txt,YES
xiaojin_zhu,xiaojin_zhu_2_5.txt,unknown,xiaojin_zhu_3.txt,YES
bernard_scholkopf,bernard_scholkopf_2_8.txt,unknown,bernard_scholkopf_15.txt,YES
geoffrey_hinton,geoffrey_hinton_2_9.txt,unknown,geoffrey_hinton_4.txt,YES
andrew_y_ng,andrew_y_ng_18.txt,unknown,andrew_y_ng_2_5.txt,YES
radford_neal,radford_neal_3_5.txt,unknown,radford_neal_2_5.txt,YES
xiaojin_zhu,xiaojin_zhu_1.txt,unknown,xiaojin_zhu_3.txt,YES
lawrence_saul,lawrence_saul_16.txt,unknown,lawrence_saul_19.txt,YES
