Author,Known_paper,Unknown_paper,Is_same_author
daphne_koller,daphne_koller_3_4.txt,unknown,andrew_y_ng_2_3.txt,NO
alex_smola,alex_smola_18.txt,unknown,alex_smola_3.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_7.txt,unknown,xiaojin_zhu_2_5.txt,NO
trevor_hastie,trevor_hastie_3_11.txt,unknown,alex_smola_3.txt,NO
yann_lecun,yann_lecun_3_3.txt,unknown,radford_neal_2_4.txt,NO
yoshua_bengio,yoshua_bengio_20.txt,unknown,yoshua_bengio_10.txt,YES
radford_neal,radford_neal_3_5.txt,unknown,yoshua_bengio_4.txt,NO
robert_tibshirani,robert_tibshirani_1.txt,unknown,vapnik_14.txt,NO
lawrence_saul,lawrence_saul_2.txt,unknown,thorsten_joachims_5.txt,NO
yee_whye_teh,yee_whye_teh_2.txt,unknown,yee_whye_teh_21.txt,YES
michael_jordan,michael_jordan_2_4.txt,unknown,robert_tibshirani_3_9.txt,NO
zoubin_ghahramani,zoubin_ghahramani_1.txt,unknown,zoubin_ghahramani_3_1.txt,YES
thomas_l_griffiths,thomas_l_griffiths_19.txt,unknown,thomas_l_griffiths_1.txt,YES
bernard_scholkopf,bernard_scholkopf_3.txt,unknown,tom_mitchell_2_3.txt,NO
xiaojin_zhu,xiaojin_zhu_10.txt,unknown,xiaojin_zhu_14.txt,YES
yoshua_bengio,yoshua_bengio_2_7.txt,unknown,thomas_l_griffiths_6.txt,NO
tom_mitchell,tom_mitchell_3_5.txt,unknown,tom_mitchell_11.txt,YES
thorsten_joachims,thorsten_joachims_8.txt,unknown,lawrence_saul_15.txt,NO
xiaojin_zhu,xiaojin_zhu_12.txt,unknown,yee_whye_teh_1.txt,NO
zoubin_ghahramani,zoubin_ghahramani_5.txt,unknown,zoubin_ghahramani_3_1.txt,YES
radford_neal,radford_neal_15.txt,unknown,yoshua_bengio_4.txt,NO
david_blei,david_blei_2.txt,unknown,yann_lecun_17.txt,NO
michael_jordan,michael_jordan_7.txt,unknown,michael_jordan_18.txt,YES
alex_smola,alex_smola_9.txt,unknown,trevor_hastie_3_2.txt,NO
thorsten_joachims,thorsten_joachims_6.txt,unknown,lawrence_saul_15.txt,NO
robert_tibshirani,robert_tibshirani_3_17.txt,unknown,robert_tibshirani_8.txt,YES
xiaojin_zhu,xiaojin_zhu_2_9.txt,unknown,xiaojin_zhu_14.txt,YES
thomas_l_griffiths,thomas_l_griffiths_14.txt,unknown,thomas_l_griffiths_1.txt,YES
lawrence_saul,lawrence_saul_2_6.txt,unknown,thorsten_joachims_5.txt,NO
xiaojin_zhu,xiaojin_zhu_8.txt,unknown,yee_whye_teh_1.txt,NO
yann_lecun,yann_lecun_8.txt,unknown,radford_neal_2_4.txt,NO
alex_smola,alex_smola_2_5.txt,unknown,alex_smola_3.txt,YES
xiaojin_zhu,xiaojin_zhu_2_4.txt,unknown,xiaojin_zhu_14.txt,YES
thomas_l_griffiths,thomas_l_griffiths_4.txt,unknown,thomas_l_griffiths_1.txt,YES
tom_mitchell,tom_mitchell_3.txt,unknown,tom_mitchell_11.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_2.txt,unknown,david_blei_16.txt,NO
yoshua_bengio,yoshua_bengio_2_2.txt,unknown,thomas_l_griffiths_6.txt,NO
trevor_hastie,trevor_hastie_2_3.txt,unknown,trevor_hastie_2_9.txt,YES
alex_smola,alex_smola_1.txt,unknown,alex_smola_3.txt,YES
david_blei,david_blei_1.txt,unknown,david_blei_5.txt,YES
daphne_koller,daphne_koller_2_10.txt,unknown,daphne_koller_11.txt,YES
xiaojin_zhu,xiaojin_zhu_18.txt,unknown,yee_whye_teh_1.txt,NO
xiaojin_zhu,xiaojin_zhu_3.txt,unknown,yee_whye_teh_1.txt,NO
thomas_l_griffiths,thomas_l_griffiths_17.txt,unknown,thomas_l_griffiths_1.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_4.txt,unknown,thomas_l_griffiths_1.txt,YES
yann_lecun,yann_lecun_2_8.txt,unknown,yann_lecun_1.txt,YES
trevor_hastie,trevor_hastie_18.txt,unknown,alex_smola_3.txt,NO
lawrence_saul,lawrence_saul_6.txt,unknown,thorsten_joachims_5.txt,NO
bernard_scholkopf,bernard_scholkopf_5.txt,unknown,tom_mitchell_2_3.txt,NO
yee_whye_teh,yee_whye_teh_5.txt,unknown,yee_whye_teh_21.txt,YES
robert_tibshirani,robert_tibshirani_3_7.txt,unknown,robert_tibshirani_8.txt,YES
yann_lecun,yann_lecun_8.txt,unknown,yann_lecun_1.txt,YES
yoshua_bengio,yoshua_bengio_2_3.txt,unknown,yoshua_bengio_10.txt,YES
david_blei,david_blei_3_2.txt,unknown,yann_lecun_17.txt,NO
xiaojin_zhu,xiaojin_zhu_2_4.txt,unknown,yee_whye_teh_1.txt,NO
vapnik,vapnik_9.txt,unknown,zoubin_ghahramani_15.txt,NO
alex_smola,alex_smola_12.txt,unknown,alex_smola_3.txt,YES
david_blei,david_blei_22.txt,unknown,yann_lecun_17.txt,NO
michael_jordan,michael_jordan_20.txt,unknown,michael_jordan_18.txt,YES
tom_mitchell,tom_mitchell_2_8.txt,unknown,geoffrey_hinton_6.txt,NO
yann_lecun,yann_lecun_3.txt,unknown,yann_lecun_1.txt,YES
robert_tibshirani,robert_tibshirani_7.txt,unknown,vapnik_14.txt,NO
thorsten_joachims,thorsten_joachims_16.txt,unknown,thorsten_joachims_17.txt,YES
andrew_y_ng,andrew_y_ng_19.txt,unknown,michael_jordan_18.txt,NO
michael_jordan,michael_jordan_2_1.txt,unknown,michael_jordan_18.txt,YES
yann_lecun,yann_lecun_1.txt,unknown,radford_neal_2_4.txt,NO
trevor_hastie,trevor_hastie_2_6.txt,unknown,alex_smola_3.txt,NO
bernard_scholkopf,bernard_scholkopf_19.txt,unknown,bernard_scholkopf_21.txt,YES
xiaojin_zhu,xiaojin_zhu_7.txt,unknown,xiaojin_zhu_14.txt,YES
radford_neal,radford_neal_2_2.txt,unknown,yoshua_bengio_4.txt,NO
zoubin_ghahramani,zoubin_ghahramani_13.txt,unknown,zoubin_ghahramani_3_1.txt,YES
robert_tibshirani,robert_tibshirani_3_1.txt,unknown,vapnik_14.txt,NO
michael_jordan,michael_jordan_1.txt,unknown,robert_tibshirani_3_9.txt,NO
andrew_y_ng,andrew_y_ng_2_5.txt,unknown,andrew_y_ng_11.txt,YES
alex_smola,alex_smola_7.txt,unknown,alex_smola_3.txt,YES
yee_whye_teh,yee_whye_teh_7.txt,unknown,bernard_scholkopf_14.txt,NO
vapnik,vapnik_2_1.txt,unknown,zoubin_ghahramani_15.txt,NO
thorsten_joachims,thorsten_joachims_3_6.txt,unknown,lawrence_saul_15.txt,NO
yann_lecun,yann_lecun_18.txt,unknown,radford_neal_2_4.txt,NO
bernard_scholkopf,bernard_scholkopf_2_1.txt,unknown,tom_mitchell_2_3.txt,NO
michael_jordan,michael_jordan_14.txt,unknown,robert_tibshirani_3_9.txt,NO
bernard_scholkopf,bernard_scholkopf_1.txt,unknown,tom_mitchell_2_3.txt,NO
zoubin_ghahramani,zoubin_ghahramani_2_7.txt,unknown,zoubin_ghahramani_3_1.txt,YES
vapnik,vapnik_3_2.txt,unknown,vapnik_2.txt,YES
andrew_y_ng,andrew_y_ng_6.txt,unknown,michael_jordan_18.txt,NO
andrew_y_ng,andrew_y_ng_2_2.txt,unknown,michael_jordan_18.txt,NO
vapnik,vapnik_19.txt,unknown,zoubin_ghahramani_15.txt,NO
radford_neal,radford_neal_2.txt,unknown,radford_neal_2_3.txt,YES
trevor_hastie,trevor_hastie_3_1.txt,unknown,alex_smola_3.txt,NO
andrew_y_ng,andrew_y_ng_2_3.txt,unknown,andrew_y_ng_11.txt,YES
daphne_koller,daphne_koller_2_2.txt,unknown,andrew_y_ng_2_3.txt,NO
alex_smola,alex_smola_7.txt,unknown,trevor_hastie_3_2.txt,NO
michael_jordan,michael_jordan_2_10.txt,unknown,michael_jordan_18.txt,YES
trevor_hastie,trevor_hastie_3_7.txt,unknown,trevor_hastie_2_9.txt,YES
trevor_hastie,trevor_hastie_2_6.txt,unknown,trevor_hastie_2_9.txt,YES
bernard_scholkopf,bernard_scholkopf_1.txt,unknown,bernard_scholkopf_21.txt,YES
daphne_koller,daphne_koller_18.txt,unknown,daphne_koller_11.txt,YES
michael_jordan,michael_jordan_13.txt,unknown,robert_tibshirani_3_9.txt,NO
yee_whye_teh,yee_whye_teh_4.txt,unknown,bernard_scholkopf_14.txt,NO
thorsten_joachims,thorsten_joachims_4_4.txt,unknown,thorsten_joachims_17.txt,YES
radford_neal,radford_neal_2_5.txt,unknown,yoshua_bengio_4.txt,NO
xiaojin_zhu,xiaojin_zhu_4.txt,unknown,yee_whye_teh_1.txt,NO
yoshua_bengio,yoshua_bengio_2_6.txt,unknown,thomas_l_griffiths_6.txt,NO
thomas_l_griffiths,thomas_l_griffiths_5.txt,unknown,david_blei_16.txt,NO
david_blei,david_blei_2_9.txt,unknown,david_blei_5.txt,YES
trevor_hastie,trevor_hastie_11.txt,unknown,alex_smola_3.txt,NO
yoshua_bengio,yoshua_bengio_17.txt,unknown,thomas_l_griffiths_6.txt,NO
radford_neal,radford_neal_17.txt,unknown,radford_neal_2_3.txt,YES
