Author,Known_paper,Unknown_paper,Is_same_author
andrew_y_ng,andrew_y_ng_6.txt,unknown,andrew_y_ng_11.txt,YES
radford_neal,radford_neal_3_7.txt,unknown,radford_neal_2_3.txt,YES
robert_tibshirani,robert_tibshirani_11.txt,unknown,robert_tibshirani_8.txt,YES
andrew_y_ng,andrew_y_ng_2.txt,unknown,michael_jordan_18.txt,NO
tom_mitchell,tom_mitchell_12.txt,unknown,geoffrey_hinton_6.txt,NO
david_blei,david_blei_9.txt,unknown,yann_lecun_17.txt,NO
david_blei,david_blei_2_10.txt,unknown,yann_lecun_17.txt,NO
bernard_scholkopf,bernard_scholkopf_2_6.txt,unknown,bernard_scholkopf_21.txt,YES
xiaojin_zhu,xiaojin_zhu_2_2.txt,unknown,yee_whye_teh_1.txt,NO
bernard_scholkopf,bernard_scholkopf_3.txt,unknown,bernard_scholkopf_21.txt,YES
thorsten_joachims,thorsten_joachims_11.txt,unknown,lawrence_saul_15.txt,NO
robert_tibshirani,robert_tibshirani_5.txt,unknown,robert_tibshirani_8.txt,YES
radford_neal,radford_neal_2_6.txt,unknown,radford_neal_2_3.txt,YES
radford_neal,radford_neal_3.txt,unknown,radford_neal_2_3.txt,YES
thomas_l_griffiths,thomas_l_griffiths_13.txt,unknown,david_blei_16.txt,NO
trevor_hastie,trevor_hastie_1.txt,unknown,alex_smola_3.txt,NO
bernard_scholkopf,bernard_scholkopf_12.txt,unknown,tom_mitchell_2_3.txt,NO
trevor_hastie,trevor_hastie_18.txt,unknown,trevor_hastie_2_9.txt,YES
lawrence_saul,lawrence_saul_9.txt,unknown,lawrence_saul_8.txt,YES
robert_tibshirani,robert_tibshirani_8.txt,unknown,vapnik_14.txt,NO
yee_whye_teh,yee_whye_teh_2_1.txt,unknown,yee_whye_teh_21.txt,YES
xiaojin_zhu,xiaojin_zhu_15.txt,unknown,xiaojin_zhu_14.txt,YES
yoshua_bengio,yoshua_bengio_13.txt,unknown,thomas_l_griffiths_6.txt,NO
thorsten_joachims,thorsten_joachims_13.txt,unknown,thorsten_joachims_17.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2.txt,unknown,thomas_l_griffiths_1.txt,YES
geoffrey_hinton,geoffrey_hinton_3_2.txt,unknown,daphne_koller_19.txt,NO
yee_whye_teh,yee_whye_teh_19.txt,unknown,yee_whye_teh_21.txt,YES
